publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p371534,,2018-05-18T11:13:48.826Z,2018-05-18T11:15:55.741Z,176.469659,-38.10063545,2.123583253,93.125,M,,NonLinLoc,,automatic,nz3drx,18,18,11,0.3996779802,94.08602902,1.036195008,0
2018p371524,,2018-05-18T11:08:07.588Z,2018-05-18T11:11:14.319Z,176.4213445,-38.63584892,2.570467678,35.9375,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.3208135882,89.12864378,1.012353739,0
2018p371522,,2018-05-18T11:07:52.580Z,2018-05-18T11:10:15.835Z,177.8005036,-37.53871863,2.432240763,60.3125,M,,NonLinLoc,,automatic,nz3drx,39,39,18,0.2187671089,200.7200383,1.558857835,0
2018p371484,,2018-05-18T10:46:53.212Z,2018-05-18T10:50:03.338Z,176.6698303,-37.55683003,2.93113372,161.5625,M,,NonLinLoc,,automatic,nz3drx,70,70,36,0.3066688519,132.3083636,2.207907053,0
2018p371414,,2018-05-18T10:09:46.453Z,2018-05-18T10:11:14.894Z,177.4013225,-37.57460592,2.139610088,9.21875,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1725107843,164.8892172,1.205659039,0
2018p371326,,2018-05-18T09:22:33.843Z,2018-05-18T09:23:28.243Z,175.7468805,-39.42125632,0.3955827973,16.015625,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.01374146236,173.5852352,0.2933324958,0
2018p371321,,2018-05-18T09:19:53.132Z,2018-05-18T09:22:16.340Z,171.4460281,-43.21087006,2.541413851,9.921875,M,,NonLinLoc,,automatic,nz3drx,26,26,11,0.3342688908,74.23632231,0.890130351,0
2018p371318,,2018-05-18T09:18:29.665Z,2018-05-18T09:24:32.469Z,176.9200689,-39.56516813,2.381120469,21.640625,M,,NonLinLoc,,automatic,nz3drx,47,47,31,0.1502650084,78.59307794,0.6149078238,0
2018p371314,,2018-05-18T09:16:13.315Z,2018-05-18T09:18:15.776Z,175.3994568,-40.17857509,1.977622091,35.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.4988484267,127.3267683,0.380691477,0
2018p371300,,2018-05-18T09:08:52.479Z,2018-05-18T09:17:36.124Z,177.0876025,-38.64670882,2.134910741,5.1171875,M,,NonLinLoc,,automatic,nz3drx,41,41,24,0.08766293237,36.91268456,0.657875332,0
2018p371293,,2018-05-18T09:05:24.474Z,2018-05-18T09:16:38.512Z,176.2109804,-39.59036304,2.424557835,34.765625,M,,NonLinLoc,,automatic,nz3drx,57,57,33,0.1322393658,45.94527842,0.5085688498,0
2018p371165,,2018-05-18T07:56:51.342Z,2018-05-18T08:00:19.970Z,178.3761904,-37.60993433,2.485882295,24.6875,M,,NonLinLoc,,automatic,nz3drx,28,28,15,0.07012838255,223.9941677,0.7386264834,0
2018p371129,,2018-05-18T07:38:07.417Z,2018-05-18T07:39:15.584Z,175.6081371,-39.38453116,0.6309914016,5.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.05616660838,177.8677586,0.5155314188,0
2018p371093,,2018-05-18T07:18:22.970Z,2018-05-18T07:19:35.800Z,170.8156614,-43.2896891,1.763612547,5.234375,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.2227481247,80.79294649,0.5439952319,0
2018p371035,,2018-05-18T06:47:43.626Z,2018-05-18T06:50:46.492Z,176.8043117,-39.86245557,2.425779057,40.15625,M,,NonLinLoc,,automatic,nz3drx,47,47,25,0.08820564314,116.4075278,0.6506600545,0
