rad	temp	wind	ozone
190	67	7.4	41
118	72	8	36
149	74	12.6	12
313	62	11.5	18
299	65	8.6	23
99	59	13.8	19
19	61	20.1	8
256	69	9.7	16
290	66	9.2	11
274	68	10.9	14
65	58	13.2	18
334	64	11.5	14
307	66	12	34
78	57	18.4	6
322	68	11.5	30
44	62	9.7	11
8	59	9.7	1
320	73	16.6	11
25	61	9.7	4
92	61	12	32
13	67	12	23
252	81	14.9	45
223	79	5.7	115
279	76	7.4	37
127	82	9.7	29
291	90	13.8	71
323	87	11.5	39
148	82	8	23
191	77	14.9	21
284	72	20.7	37
37	65	9.2	20
120	73	11.5	12
137	76	10.3	13
269	84	4	135
248	85	9.2	49
236	81	9.2	32
175	83	4.6	64
314	83	10.9	40
276	88	5.1	77
267	92	6.3	97
272	92	5.7	97
175	89	7.4	85
264	73	14.3	10
175	81	14.9	27
48	80	14.3	7
260	81	6.9	48
274	82	10.3	35
285	84	6.3	61
187	87	5.1	79
220	85	11.5	63
7	74	6.9	16
294	86	8.6	80
223	85	8	108
81	82	8.6	20
82	86	12	52
213	88	7.4	82
275	86	7.4	50
253	83	7.4	64
254	81	9.2	59
83	81	6.9	39
24	81	13.8	9
77	82	7.4	16
255	89	4	122
229	90	10.3	89
207	90	8	110
192	86	11.5	44
273	82	11.5	28
157	80	9.7	65
71	77	10.3	22
51	79	6.3	59
115	76	7.4	23
244	78	10.9	31
190	78	10.3	44
259	77	15.5	21
36	72	14.3	9
212	79	9.7	45
238	81	3.4	168
215	86	8	73
203	97	9.7	76
225	94	2.3	118
237	96	6.3	84
188	94	6.3	85
167	91	6.9	96
197	92	5.1	78
183	93	2.8	73
189	93	4.6	91
95	87	7.4	47
92	84	15.5	32
252	80	10.9	20
220	78	10.3	23
230	75	10.9	21
259	73	9.7	24
236	81	14.9	44
259	76	15.5	21
238	77	6.3	28
24	71	10.9	9
112	71	11.5	13
237	78	6.9	46
224	67	13.8	18
27	76	10.3	13
238	68	10.3	24
201	82	8	16
238	64	12.6	13
14	71	9.2	23
139	81	10.3	36
49	69	10.3	7
20	63	16.6	14
193	70	6.9	30
191	75	14.3	14
131	76	8	18
223	68	11.5	20
