cells	smoker	age	sex	weight
1	T	young	male	normal
0	T	young	male	normal
1	T	young	male	normal
1	T	young	male	normal
0	T	young	male	normal
2	T	young	male	normal
1	T	young	male	normal
0	T	young	male	normal
5	T	young	male	normal
1	T	young	male	normal
0	T	young	male	normal
2	T	young	male	normal
0	T	young	male	normal
1	T	young	male	normal
2	T	young	male	normal
1	T	young	male	normal
0	T	young	male	normal
1	T	young	male	normal
2	T	young	male	normal
0	T	young	male	normal
4	T	young	male	normal
1	T	young	male	normal
1	T	young	male	normal
1	T	young	male	over
0	T	young	male	over
3	T	young	male	over
1	T	young	male	over
4	T	young	male	over
0	T	young	male	over
5	T	young	male	obese
3	T	young	male	obese
5	T	young	male	obese
6	T	young	male	obese
1	T	young	male	obese
0	F	young	male	normal
0	F	young	male	normal
1	F	young	male	normal
0	F	young	male	normal
2	F	young	male	normal
0	F	young	male	over
2	F	young	male	over
0	F	young	male	over
0	F	young	male	over
2	F	young	male	obese
1	F	young	male	obese
4	F	young	male	obese
2	F	young	male	obese
0	F	young	male	obese
1	T	mid	male	normal
0	T	mid	male	normal
2	T	mid	male	normal
1	T	mid	male	normal
0	T	mid	male	normal
3	T	mid	male	normal
2	T	mid	male	normal
0	T	mid	male	normal
3	T	mid	male	obese
5	T	mid	male	obese
6	T	mid	male	obese
2	T	mid	male	obese
3	T	mid	male	obese
0	T	mid	male	normal
1	T	mid	male	normal
0	T	mid	male	normal
2	T	mid	male	normal
1	T	mid	male	normal
0	T	mid	male	normal
2	T	mid	male	normal
0	T	mid	male	over
2	T	mid	male	over
1	T	mid	male	over
0	F	mid	male	normal
0	F	mid	male	normal
2	F	mid	male	normal
2	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
1	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	obese
3	F	mid	male	obese
0	F	mid	male	obese
0	T	old	male	normal
1	T	old	male	normal
2	T	old	male	normal
1	T	old	male	normal
0	T	old	male	normal
1	T	old	male	normal
0	T	old	male	normal
2	T	old	male	over
3	T	old	male	over
2	T	old	male	over
4	T	old	male	over
2	T	old	male	over
3	T	old	male	over
4	T	old	male	over
1	T	old	male	over
5	T	old	male	obese
6	T	old	male	obese
0	T	old	male	over
3	T	old	male	over
3	T	old	male	over
0	T	old	male	over
2	T	old	male	over
0	T	old	male	over
0	F	old	male	over
1	F	old	male	over
0	F	old	male	over
0	F	old	male	obese
0	F	old	male	obese
3	F	old	male	obese
0	F	old	male	obese
0	F	old	male	obese
2	F	old	male	obese
0	F	old	male	obese
1	F	old	male	obese
1	F	old	male	obese
3	F	old	male	obese
3	F	old	male	obese
3	F	old	male	obese
4	F	old	male	obese
5	F	old	male	obese
0	F	old	male	obese
0	F	old	male	obese
0	F	old	male	obese
0	F	old	male	obese
0	F	old	male	obese
0	T	young	male	obese
2	T	young	male	obese
0	T	young	male	obese
0	T	young	male	obese
1	T	young	male	obese
0	T	young	male	obese
0	T	young	male	obese
0	T	young	male	obese
4	T	young	male	obese
5	T	mid	male	obese
6	T	mid	male	obese
4	T	mid	male	obese
5	T	mid	male	obese
2	T	mid	male	obese
4	T	old	male	obese
7	T	old	male	obese
6	T	old	male	obese
5	T	old	male	obese
1	T	old	male	obese
0	F	young	male	normal
0	F	young	male	normal
2	F	young	male	normal
0	F	young	male	normal
0	F	young	male	normal
0	F	young	male	normal
0	F	young	male	over
0	F	young	male	over
0	F	young	male	over
1	F	young	male	over
0	F	young	male	over
0	F	mid	male	normal
2	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
2	F	mid	male	normal
3	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
1	F	mid	male	normal
0	F	mid	male	normal
0	F	mid	male	normal
1	F	mid	male	over
0	F	mid	male	over
1	F	mid	male	over
3	F	mid	male	over
4	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
2	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
2	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	over
0	F	mid	male	obese
0	F	mid	male	obese
3	F	mid	male	obese
0	F	mid	male	obese
4	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
1	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
2	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	mid	male	obese
0	F	old	male	normal
0	F	old	male	normal
2	F	old	male	normal
1	F	old	male	normal
0	F	old	male	normal
0	F	old	male	normal
0	F	old	male	normal
0	F	old	male	normal
1	F	old	male	normal
0	F	old	male	normal
0	F	old	male	normal
0	F	old	male	normal
1	F	old	male	over
0	F	old	male	over
1	T	young	female	normal
2	T	young	female	normal
0	T	young	female	normal
2	T	young	female	normal
3	T	young	female	normal
0	T	young	female	normal
1	T	young	female	normal
3	T	young	female	over
4	T	young	female	over
4	T	young	female	over
2	T	young	female	over
4	T	young	female	over
5	T	young	female	over
0	T	young	female	over
