Dose;Cage;1;2;3;4;5;6;7;8;9;10
1; 1 ; 20584; 15439; 17376; 14785; 11189; 10366; 8725 ; 9974 ; 9576 ; 6849  
1; 2 ; 23265; 16956; 16200; 12934; 13763; 11893; 9949 ; 10490; 8674 ; 7153  
1; 3 ; 17065; 12429; 14757; 10524; 11783; 8828 ; 9016 ; 9635 ; 8028 ; 8099  
1; 4 ; 19265; 19316; 20598; 16619; 16092; 13422; 10532; 10614; 9466 ; 9494  
1; 5 ; 21062; 14095; 13267; 12543; 12734; 12268; 12219; 11791; 10379; 8463  
1; 6 ; 23456; 10939; 13270; 14089; 12986; 13723; 11878; 13338; 12442; 10094 
1; 7 ; 13383; 11899; 12531; 15081; 14295; 13650; 9988 ; 11518; 11915; 7844  
1; 8 ; 22717; 22434; 23151; 13163; 10029; 10408; 9119 ; 10188; 9549 ; 11153 
1; 9 ; 17437; 13950; 15535; 14199; 11540; 9568 ; 8481 ; 9143 ; 8117 ; 5765  
1; 10; 18546; 12520; 15394; 10137; 9218 ; 7343 ; 6702 ; 7173 ; 7257 ; 5708  
2; 11; 18536; 16827; 19185; 12445; 13227; 10412; 9855 ; 9169 ; 9639 ; 6853  
2; 12; 18831; 14043; 16493; 12562; 10397; 8568 ; 8599 ; 8818 ; 6011 ; 5062  
2; 13; 15016; 13765; 16648; 14537; 13929; 10778; 9897 ; 9225 ; 9491 ; 5523  
2; 14; 22276; 15497; 22024; 15616; 12440; 11454; 10290; 9456 ; 9567 ; 7003  
2; 15; 18943; 14834; 18403; 16232; 13085; 12679; 10489; 9495 ; 10896; 8836  
2; 16; 13598; 10233; 13392; 10457; 9236 ; 8847 ; 9445 ; 9501 ; 8509 ; 5656  
2; 17; 20498; 22136; 22094; 19825; 18157; 11452; 14809; 14564; 14503; 10643 
2; 18; 19586; 12710; 12745; 7294 ; 15757; 15296; 14097; 14308; 13933; 10210 
2; 19; 11474;  8108; 17714; 16795; 17364; 16766; 15016; 13475; 14349; 8698  
2; 20; 10284; 10760; 15628; 10692; 8420 ; 5842 ; 6138 ; 10271; 8435 ; 4486  
3; 21; 18459; 15805; 19924; 18337; 24197; 18790; 19333; 22234; 18291; 11595 
3; 22; 16186; 11750; 16470; 18637; 14862; 14695; 14458; 14228; 12909; 9079  
3; 23; 9614 ;  8319; 11375; 9446 ; 13157; 11153; 10540; 11476; 8976 ; 6123  
3; 24; 15688; 15016; 20929; 12706; 17351; 15089; 14605; 15952; 14795; 10434 
3; 25; 15864; 13169; 20991; 20655; 19763; 19180; 19003; 18172; 15025; 11790 
3; 26; 17721; 14489; 19085; 21333; 17011; 16148; 15280; 14762; 15745; 10477 
3; 27; 17606;  7558; 15646; 15194; 13036; 10316; 8172 ; 8977 ; 8378 ; 3962  
3; 28; 34907; 29247; 35831; 15093; 9754 ; 10061; 9042 ; 11732; 8716 ; 4922  
3; 29; 15189; 14046; 14909; 14713; 14999; 14201; 13184; 13073; 14639; 10330 
3; 30; 16388; 14538; 17548; 19416; 22034; 17761; 14488; 16068; 14773;10595 
