n failed temp pres number names date
6 0 66  50  1   STS-1        04/12/81
6 1 70  50  2   STS-2        11/12/81
6 0 69  50  3   STS-3        03/22/82
6 0 68  50  5   STS-5        11/11/82
6 0 67  50  6   STS-6        04/04/83
6 0 72  50  7   STC-7        06/18/83
6 0 73 100  8   STS-8        08/30/83
6 0 70 100  9   STS-9        10/05/84
6 1 57 200 10   STS_41-B     02/03/84
6 1 63 200 11   STS_41-C     04/06/84
6 1 70 200 12   STS_41-D     08/30/84
6 0 78 200 13   STS_41-G     10/05/84
6 0 67 200 14   STS_51-A     11/08/84
6 2 53 200 15   STS_51-C     01/24/85
6 0 67 200 16   STS_51-D     04/12/85
6 0 75 200 17   STS_51-B     04/29/85
6 0 70 200 18   STS_51-G     06/17/85
6 0 81 200 19   STS_51-F     07/29/85
6 0 76 200 20   STS_51-I     08/27/85
6 0 79 200 21   STS_51-J     10/03/85
6 0 75 200 22   STS_61-A     10/30/85
6 0 76 200 23   STS_61-B     11/26/85
6 1 58 200 24   STS_61-C     01/12/86
