dose group   nr  litter  dead
0       1       1       6       0       
0       1       2       17      1       
0       1       3       14      0       
0       1       4       15      2       
0       1       5       17      2       
0       1       6       13      0       
0       1       7       14      2       
0       1       8       14      1       
0       1       9       16      3       
0       1       10      16      2       
0       1       11      5       0       
0       1       12      14      0       
0       1       13      13      0       
0       1       14      14      1       
0       1       15      16      0       
0       1       16      13      3       
0       1       17      14      0       
0       1       18      14      0       
0       1       19      6       1       
0       1       20      14      1       
0       1       21      17      0       
0       1       22      14      1       
0       1       23      15      3       
0       1       24      16      2       
0       1       25      12      0       
10      5       26      16      3       
10      5       27      12      1       
10      5       28      14      5       
10      5       29      6       1       
10      5       30      15      0       
10      5       31      10      1       
10      5       32      15      2       
10      5       33      12      4       
10      5       34      14      2       
10      5       35      16      3       
10      5       36      5       0       
10      5       37      13      0       
10      5       38      14      6       
10      5       39      14      0       
10      5       40      15      1       
10      5       41      16      0       
10      5       42      14      0       
10      5       43      14      5       
10      5       44      16      0       
10      5       45      19      7       
10      5       46      16      1       
10      5       47      16      6       
10      5       48      16      1       
10      5       49      16      5       
10      5       50      4       0       
10      5       51      15      6       
10      5       52      13      2       
10      5       53      13      2       
1       2       54      12      2       
1       2       55      13      2       
1       2       56      8       0       
1       2       57      13      1       
1       2       58      13      0       
1       2       59      13      0       
1       2       60      15      1       
1       2       61      11      11      
1       2       62      16      4       
1       2       63      16      4       
1       2       64      16      1       
1       2       65      15      1       
1       2       66      17      3       
1       2       67      13      1       
1       2       68      13      1       
1       2       69      16      1       
1       2       70      14      0       
1       2       71      14      0       
1       2       72      15      1       
1       2       73      16      2       
1       2       74      14      1       
1       2       75      18      1       
1       2       76      16      1       
1       2       77      16      0       
1       2       78      18      2       
1       2       79      18      1       
2.5     3       80      16      2       
2.5     3       81      14      0       
2.5     3       82      5       0       
2.5     3       83      15      1       
2.5     3       84      12      1       
2.5     3       85      11      4       
2.5     3       86      16      3       
2.5     3       87      15      3       
2.5     3       88      15      0       
2.5     3       89      14      1       
2.5     3       90      17      2       
2.5     3       91      15      4       
2.5     3       92      14      0       
2.5     3       93      17      4       
2.5     3       94      15      1       
2.5     3       95      12      1       
2.5     3       96      7       0       
2.5     3       97      12      2       
2.5     3       98      15      1       
2.5     3       99      14      1       
2.5     3       100     16      0       
2.5     3       101     15      0       
2.5     3       102     16      0       
2.5     3       103     13      0       
2.5     3       104     12      0       
5       4       105     14      3       
5       4       106     13      1       
5       4       107     15      1       
5       4       108     11      1       
5       4       109     6       3       
5       4       110     14      2       
5       4       111     16      2       
5       4       112     15      2       
5       4       113     13      2       
5       4       114     14      1       
5       4       115     15      1       
5       4       116     11      0       
5       4       117     13      0       
5       4       118     16      1       
5       4       119     14      0       
5       4       120     15      4       
5       4       121     15      2       
5       4       122     12      3       
5       4       123     14      0       
5       4       124     14      0       
5       4       125     13      1       
5       4       126     14      0       
5       4       127     16      0       
5       4       128     14      2       
5       4       129     13      3       
5       4       130     17      1 
