sort,bush,fruct
1,1,70
1,1,83
1,1,50
1,1,68
1,1,44
1,2,67
1,2,48
1,2,42
1,2,0
1,2,67
1,3,75
1,3,29
1,3,47
1,3,67
1,3,77
1,4,47
1,4,17
1,4,92
1,4,44
1,4,33
1,5,93
1,5,60
1,5,44
1,5,100
1,5,62
1,6,56
1,6,33
1,6,70
1,6,63
1,6,57
2,7,32
2,7,65
2,7,64
2,7,53
2,7,25
2,8,17
2,8,21
2,8,78
2,8,67
2,8,75
2,9,94
2,9,53
2,9,62
2,9,21
2,9,32
2,10,33
2,10,86
2,10,54
2,10,14
2,10,39
2,11,45
2,11,92
2,11,88
2,11,100
2,11,68
2,12,67
2,12,55
2,12,82
2,12,43
2,12,80
3,13,54
3,13,80
3,13,44
3,13,69
3,13,0
3,14,88
3,14,75
3,14,33
3,14,17
3,14,63
3,15,14
3,15,27
3,15,67
3,15,76
3,15,85
3,16,29
3,16,83
3,16,56
3,16,17
3,16,53
3,17,90
3,17,54
3,17,80
3,17,83
3,17,36
3,18,55
3,18,80
3,18,67
3,18,86
3,18,22
4,19,86
4,19,90
4,19,100
4,19,90
4,19,60
4,20,67
4,20,50
4,20,67
4,20,95
4,20,67
4,21,82
4,21,100
4,21,100
4,21,88
4,21,88
4,22,100
4,22,50
4,22,94
4,22,40
4,22,78
4,23,92
4,23,71
4,23,58
4,23,91
4,23,93
4,24,0
4,24,100
4,24,82
4,24,87
4,24,97
