dato	y7	y28	batch
250679	10.5	24.4	1
240779	11.4 	27.3	1	
300779	10.5	25.2	1
060879	10.9	24.4	1
130879	11.5	23.9	1
200879	7.5	21.0	1
280879	8.3	22.6	1
110979	11.1	27.6	1
180979	9.5	25.1	1
250979	10.4	24.0	1
230480	10.3	30.4	2
280680	10.4	28.6	2	
060580	10.1	28.6	2
130580	10.5	28.7	2
190580	10.5	27.3	2
270580	11.9	28.7	2
020680	8.5	23.5	3
100680	9.2	23.7	3
160680	10.3	26.4	3
300680	10.2	28.9	3
020780	9.7	25.3	3
090780	9.4	22.8	3
160780	9.3	24.0	3
220780	9.1	21.7	3
280780	11.3	26.9	3
050880	11.4	27.8	3
120880	11.0	27.7	3
200880	9.2	24.7	3
250880	10.0	25.9	3
020980	9.5	25.2	3
100980	7.4	21.3	3
150980	9.8	24.7	3
240980	8.8	25.6	3
300980	9.5	25.0	3
081080	10.0	26.8	3
141080	8.5	24.0	3
130481	11.4	27.4	4
220481	8.8	24.0	4
270481	9.2	24.4	4
040581	10.2	24.7	4
120581	9.9	26.5	4
250581	8.7	22.4	5
020681	8.0	21.4	5
090681	8.9	23.2	5
170681	9.0	20.8	5
240681	9.7	23.6	5
010781	8.4	21.5	5
080781	10.0	22.7	5
270781	9.2	23.7	5


