plank,width,debth,humidity
1,1,1,3.4
1,1,3,4.9
1,1,5,5
1,1,7,4.9
1,1,9,4
1,2,1,4.1
1,2,3,4.7
1,2,5,5.2
1,2,7,4.6
1,2,9,4.3
1,3,1,4.4
1,3,3,4.8
1,3,5,5
1,3,7,4.9
1,3,9,4.2
2,1,1,4.3
2,1,3,5.5
2,1,5,6.2
2,1,7,5.4
2,1,9,4.7
2,2,1,3.9
2,2,3,5.6
2,2,5,5.7
2,2,7,5.5
2,2,9,4.9
2,3,1,4
2,3,3,4.7
2,3,5,4.5
2,3,7,3.9
2,3,9,4
3,1,1,4.2
3,1,3,5.5
3,1,5,5.6
3,1,7,6.3
3,1,9,4.5
3,2,1,5.4
3,2,3,6.2
3,2,5,6.1
3,2,7,6.4
3,2,9,5.2
3,3,1,4.5
3,3,3,4.9
3,3,5,4.9
3,3,7,4.9
3,3,9,4.4
4,1,1,4.4
4,1,3,6
4,1,5,7.1
4,1,7,6.9
4,1,9,4.6
4,2,1,4.6
4,2,3,6.1
4,2,5,6.6
4,2,7,6.5
4,2,9,4.7
4,3,1,4.9
4,3,3,5.9
4,3,5,5.8
4,3,7,6.4
4,3,9,4.7
5,1,1,3.9
5,1,3,4.7
5,1,5,5.2
5,1,7,5
5,1,9,3.7
5,2,1,4.2
5,2,3,5.2
5,2,5,5.4
5,2,7,4.8
5,2,9,3.9
5,3,1,4
5,3,3,4.4
5,3,5,4.4
5,3,7,4.1
5,3,9,3.5
6,1,1,4.6
6,1,3,5.9
6,1,5,6.3
6,1,7,5.8
6,1,9,4.8
6,2,1,5.9
6,2,3,7.3
6,2,5,6.9
6,2,7,6.9
6,2,9,4.4
6,3,1,5.2
6,3,3,5.7
6,3,5,6.6
6,3,7,6
6,3,9,4
7,1,1,3.9
7,1,3,5.6
7,1,5,6
7,1,7,5.3
7,1,9,5
7,2,1,4.9
7,2,3,6.9
7,2,5,7.1
7,2,7,6.1
7,2,9,4.5
7,3,1,4.3
7,3,3,5.4
7,3,5,5.9
7,3,7,5.5
7,3,9,4.2
8,1,1,3.9
8,1,3,4.5
8,1,5,5.3
8,1,7,5.6
8,1,9,4.7
8,2,1,3.7
8,2,3,4.9
8,2,5,4.8
8,2,7,4.9
8,2,9,4.3
8,3,1,3.8
8,3,3,4.5
8,3,5,5.4
8,3,7,4.8
8,3,9,4
9,1,1,3.6
9,1,3,4.1
9,1,5,4
9,1,7,4.4
9,1,9,3.7
9,2,1,3.8
9,2,3,5.1
9,2,5,5
9,2,7,4.6
9,2,9,3.3
9,3,1,3
9,3,3,3.9
9,3,5,4.7
9,3,7,4.9
9,3,9,3.8
10,1,1,6.5
10,1,3,8.7
10,1,5,9.5
10,1,7,7.9
10,1,9,6.6
10,2,1,6.9
10,2,3,8.9
10,2,5,7.4
10,2,7,7
10,2,9,6.9
10,3,1,5.8
10,3,3,7.5
10,3,5,7.7
10,3,7,7.3
10,3,9,5.9
11,1,1,3.7
11,1,3,5.2
11,1,5,5.5
11,1,7,5.9
11,1,9,4.4
11,2,1,4.7
11,2,3,5.8
11,2,5,5.7
11,2,7,4.9
11,2,9,4.2
11,3,1,3.7
11,3,3,5
11,3,5,6.3
11,3,7,5.2
11,3,9,4.3
12,1,1,4.3
12,1,3,5.8
12,1,5,6.2
12,1,7,5.2
12,1,9,4.4
12,2,1,4.8
12,2,3,6.7
12,2,5,7
12,2,7,6.1
12,2,9,5.2
12,3,1,5.1
12,3,3,5.7
12,3,5,5.9
12,3,7,6.4
12,3,9,5.1
13,1,1,6.5
13,1,3,8.8
13,1,5,9.1
13,1,7,8.9
13,1,9,6
13,2,1,5.9
13,2,3,7.5
13,2,5,8.4
13,2,7,7.9
13,2,9,5.7
13,3,1,4
13,3,3,4.2
13,3,5,4.9
13,3,7,4.6
13,3,9,3.5
14,1,1,4.4
14,1,3,6.2
14,1,5,6.7
14,1,7,6.4
14,1,9,4.3
14,2,1,5.7
14,2,3,7
14,2,5,7.4
14,2,7,7.3
14,2,9,5.5
14,3,1,4.6
14,3,3,6.2
14,3,5,6.8
14,3,7,5.8
14,3,9,4.9
