"OBSERV","DIOX","PLANT","TIME","LAB","OXYGEN","LOAD","PRSEK","O2","O2COR","NEFFEKT","QRAT","QROEG","TOVN","TROEG","POVN","CO2","CO","SO2","HCL","H2O"
"1",1011,984.06650389,"RENO_N","1","KK","L","H","L",10.42,-0.58,0.2556869882,0.344053326703333,45105.28,997.51,240.12,-8.94,10.59,13.68,157.91,4301,13.78
"2",1022,1790.7973641,"RENO_N","1","USA","H","H","L",12.36,1.36,0.2342389185,0.306996974608562,73600.39,853.93,244.76,-8.24,8.81,31.19,200.31,571.87,12.14
"3",1031,661.95870145,"RENO_N","1","USA","L","H","H",9.5,-1.5,0.351878331,1.11900550244259,61802.16,948.14,237.57,-9.63,10.45,16.66,358.28,171.97,14.59
"4",1042,978.06853583,"RENO_N","1","KK","H","H","H",12.75,1.75,0.1913427791,0.929334943976665,73084.91,825.86,243.63,-10.38,6.45,34.46,165.03,1254.82,10.41
"5",1051,270.92290942,"RENO_N","1","USA","N","N","N",11.7,0.7,-0.01988821,0.9022117820743,53108.16,956.96,222.65,-9.24,8.33,9.86,233.08,296.74,12.55
"6",1062,402.98269729,"RENO_N","1","USA","N","N","N",11.17,0.17,0.0152086312,1.02228392533298,53210.43,938.81,221.35,-8.93,9.13,12.77,176.56,458.27,14.15
"7",1071,321.71945701,"RENO_N","1","KK","H","L","L",13.85,2.85,-0.268815807,0.203429415664075,46519.59,985.14,210.73,-8.97,6.6,72.94,NA,728.85,9.52
"8",1082,223.15260359,"RENO_N","1","USA","L","L","L",10.11,-0.89,-0.237618614,0.41843885813393,27997.39,982.67,197.82,-9.07,10.37,NA,NA,505.26,15.84
"9",1091,246.65350151,"RENO_N","1","USA","H","L","H",14.72,3.72,-0.376056155,1.04915678187720,44415.35,891.26,201.16,-9.29,5.95,242.13,292.55,579.36,8.75
"10",1102,188.48323034,"RENO_N","1","KK","L","L","H",10.39,-0.61,-0.159625634,1.11169739240983,40343.15,965.53,200.32,-9.02,10.66,7.79,163.75,337.22,14.37
"11",1141,267.34994025,"RENO_N","1","KK","N","N","N",11.54,0.54,-0.029637333,0.663649038084167,43354.9,947.55,216.29,-9.05,8.16,9.5,245.03,884.36,13.22
"12",1152,452.10355987,"RENO_N","1","KK","N","N","N",11.73,0.73,0.0061094501,0.687163885042464,46140.33,1107.16,220.52,-8.68,8.02,6.4,341.25,1148.97,11.25
"13",2011,2569.6672555,"KARA","1","USA","N","N","N",11.6,0.6,-0.029392765,0.405817566844527,30168.18,986.41,173.18,-11.82,9.16,44.55,94.25,162.64,12.2
"14",2021,604.79620572,"KARA","1","KK","N","N","N",12.35,1.35,-0.001937984,0.424166452013871,32668.18,1007.55,188.82,-14.14,8.25,62.86,96.78,56.13,11.3
"15",2031,2610.4804449,"KARA","1","KK","L","H",NA,8.34,-2.66,0.3194444444,0.219241133079592,40465.88,1002.37,205.46,-10.5,12.64,220.1,474.61,638.38,16.48
"16",2032,3789.7097503,"KARA","1","USA","L","H",NA,8.34,-2.66,0.3194444444,0.219241133079592,40465.88,1002.37,205.46,-10.5,12.64,220.1,474.61,638.38,16.43
"17",2052,338.97054188,"KARA","1","KK","L","L","L",11.67,0.67,-0.286175711,0.143465137466868,16797.98,1013.01,151.81,-10.44,7.28,569.63,164.12,527.53,11.78
"18",2061,391.09027375,"KARA","1","USA","H","L","H",13.63,2.63,-0.271640827,0.714587530021758,31395.52,961,155.57,-11.56,5.46,47.1,92.93,50.16,9.6
"19",2092,410.04420258,"KARA","1","USA","N","N","N",10.42,-0.58,0.0562015504,0.345420211325415,31815.41,1000.44,185.95,-11.41,10.88,32.52,171.35,25.01,13.68
"20",2102,313.51882368,"KARA","1","KK","N","N","N",11.2,0.2,-0.024547804,0.374718271381495,32549.07,1002.09,183.67,-11.43,8.24,24.13,95.14,57.26,12.67
"21",2112,1242.5931417,"KARA","1","KK","H","H","H",10.09,-0.91,0.229005168,0.661137475298757,42090.32,964.87,212.55,-10.8,9.34,12.91,194.04,2406.57,13.45
"22",2122,1751.4827969,"KARA","1","USA","H","H","L",8.74,-2.26,0.4195736434,0.381083238369671,37546.74,1011.4,214.07,-12.01,10.94,103.81,345.1,186.97,17.15
"23",3011,60.48026048,"RENO_S","1","KK","N","N","N",11.9,0.9,-0.033415842,0.379729095013712,29118.69,1016.02,167.18,-10.89,8.73,26.58,269.17,90.36,10.49
"24",3012,257.27729731,"RENO_S","1","USA","N","N","N",11.9,0.9,-0.033415842,0.379729095013712,29118.69,1016.02,167.18,-10.89,8.73,26.58,269.17,90.36,10.01
"25",3021,46.74282552,"RENO_S","1","KK","N","N","N",11.9,0.9,0.0074257426,0.401980677598554,40819.08,1057.95,171.17,-10.8,8.8,14.8,183.79,44.07,8.95
"26",3022,73.605375516,"RENO_S","1","KK","N","N","N",11.9,0.9,0.0074257426,0.401980677598554,40819.08,1057.95,171.17,-10.8,8.8,14.8,183.79,44.07,8.68
"27",3031,108.25433812,"RENO_S","1","KK","H","H","L",12.79,1.79,0.1150990099,0.325907644235525,31791.55,1003.5,197.18,-7.27,8.32,9.76,189.6,86.44,9.76
