species	exposure	humidity	temp	deaths	n
A	1	60.0	10	 0	20
A	1	60.0	15	 0	20
A	1	60.0	20	 0	20
A	1	65.8	10	 0	20
A	1	65.8	15	 0	20
A	1	65.8	20	 0	20
A	1	70.5	10	 0	20
A	1	70.5	15	 0	20
A	1	70.5	20	 0	20
A	1	75.8	10	 0	20
A	1	75.8	15	 0	20
A	1	75.8	20	 0	20
A	2	60.0	10	 0	20
A	2	60.0	15	 1	20
A	2	60.0	20	 1	20
A	2	65.8	10	 0	20
A	2	65.8	15	 1	20
A	2	65.8	20	 0	20
A	2	70.5	10	 0	20
A	2	70.5	15	 0	20
A	2	70.5	20	 0	20
A	2	75.8	10	 0	20
A	2	75.8	15	 0	20
A	2	75.8	20	 0	20
A	3	60.0	10	 1	20
A	3	60.0	15	 4	20
A	3	60.0	20	 5	20
A	3	65.8	10	 0	20
A	3	65.8	15	 2	20
A	3	65.8	20	 4	20
A	3	70.5	10	 0	20
A	3	70.5	15	 2	20
A	3	70.5	20	 3	20
A	3	75.8	10	 0	20
A	3	75.8	15	 1	20
A	3	75.8	20	 2	20
A	4	60.0	10	 7	20
A	4	60.0	15	 7	20
A	4	60.0	20	 7	20
A	4	65.8	10	 4	20
A	4	65.8	15	 4	20
A	4	65.8	20	 7	20
A	4	70.5	10	 3	20
A	4	70.5	15	 3	20
A	4	70.5	20	 5	20
A	4	75.8	10	 2	20
A	4	75.8	15	 3	20
A	4	75.8	20	 3	20
B	1	60.0	10	 0	20
B	1	60.0	15	 0	20
B	1	60.0	20	 0	20
B	1	65.8	10	 0	20
B	1	65.8	15	 0	20
B	1	65.8	20	 0	20
B	1	70.5	10	 0	20
B	1	70.5	15	 0	20
B	1	70.5	20	 0	20
B	1	75.8	10	 0	20
B	1	75.8	15	 0	20
B	1	75.8	20	 0	20
B	2	60.0	10	 0	20
B	2	60.0	15	 3	20
B	2	60.0	20	 2	20
B	2	65.8	10	 0	20
B	2	65.8	15	 2	20
B	2	65.8	20	 1	20
B	2	70.5	10	 0	20
B	2	70.5	15	 0	20
B	2	70.5	20	 1	20
B	2	75.8	10	 1	20
B	2	75.8	15	 0	20
B	2	75.8	20	 1	20
B	3	60.0	10	 7	20
B	3	60.0	15	11	20
B	3	60.0	20	11	20
B	3	65.8	10	 4	20
B	3	65.8	15	 5	20
B	3	65.8	20	 9	20
B	3	70.5	10	 2	20
B	3	70.5	15	 4	20
B	3	70.5	20	 6	20
B	3	75.8	10	 2	20
B	3	75.8	15	 3	20
B	3	75.8	20	 5	20
B	4	60.0	10	12	20
B	4	60.0	15	14	20
B	4	60.0	20	16	20
B	4	65.8	10	10	20
B	4	65.8	15	12	20
B	4	65.8	20	12	20
B	4	70.5	10	 5	20
B	4	70.5	15	 7	20
B	4	70.5	20	 9	20
B	4	75.8	10	 4	20
B	4	75.8	15	 5	20
B	4	75.8	20	 7	20
