make	model	type		year	mileage	price
VW	Golf	"1.3iCL"	1990  	161000 	49900
VW	Golf	"1.8_CL"	1993  	143000 	87900
VW	Golf	"1.8"		1990	NA      47800
VW	Golf	"1.8_GL"	1995   	57000  	129900
VW	Golf	"1.6"		1986  	185000 	23000
VW	Golf	"2.0GTI"	1995   	68000 	169900
VW	Golf	"1.3"		1986	NA      17800
VW	Golf	"Manh."		1990  	166000 	49900
VW	Golf	"2.8l"		1992  	175000 	141800
VW	Golf	"1.8iCL"	1994  	166000 	89900
VW	Golf	"1.8CL"		1996  	139000 	129900
VW	Golf	"2.0GTi"	1995  	95000 	136900
Ford	Escort	"1.6CLX"	1998   	60000	114000
Ford	Escort	"1.6Sav"	1987   	158000 	19000
Ford	Escort	"1.6CL"		1995  	112000 	69000
Ford	Escort	"1.6CLS"	1995   	105000 	95000
Ford	Escort	"1.6L"		1983	NA      9800
Ford	Escort	"1.6"		1997   	51000 	119900
Ford	Escort	"1.6"		1986    NA      9900
Ford	Escort	"1.4"		1994   	58000 	89900
Ford	Escort	"1.6CLX"	1997   	92000 	89900
Ford	Escort	"1.6iCLX"	1991 	144000 	39900
Ford	Escort	"1.6iStc"	1991 	149000 	49900
Ford	Escort	"1.6CLX"	1995  	121000 	99900
Ford	Escort	"1.6CLX"	1994   	53000 	84900
Ford	Escort	"1.6Sav"	1988  	152000 	29900
Ford	Escort	"1.6iCLX"	1995 	115000 	84900
