,idnumber,user,date,time,body,inreply,title,path,topic,weight,count
0,5502011,gart,2006-11-09,00:20,"     Här kommer en såndär fråga som barn ställer...   Ett av argumenten som republikaner har för att avskaffa monarkin är att den kostar pengar. Och, tja, det finns ju ett icke oansenligt apanage som förvisso inte blir så många kronor per år och svensk men... ändå. Det finns.   Monarkister säger då, som motargument, att en president skulle kosta lika mycket, och därför är detta inget argument.   Men om kungahuset avskaffas och man istället inför... ingenting? Alltså ingen president, utan bara ingenting alls, vad skulle hända då?    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
1,5502103,Kotzen,2006-11-09,00:28,"     ..de som skriver skolböcker i SO för mellanstadiebarn inte ha något att skriva i faktarutan bredvid Sverige, där det bredvid andra civiliserade länder står statsskick: republik/monarki..  ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
2,5502130,kattunga,2006-11-09,00:32,"     En snabb fråga dock, menar du att man ska ta bort statsminister-posten också? Om inte, så blir det ju automatiskt republik eftersom den posten görs om till president...    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
3,5502290,Tjennstroum,2006-11-09,00:49,     Någon måste fortfarande vara statsöverhuvud. Vill du ha Lex Luthor eller Den Fete på den posten?    ,none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
4,5502525,fakesky,2006-11-09,01:17,"     Tjänar inte Sverige redan in pengar på att ha Knugen som reklamgubbe?  Det är iof väldigt godtyckligt, men jag vill mig minnas att hans person  var värd ganska mycket mer än vad han tar i drift.   Men visst, vi kan ju ha både en president och statminister, som i Finland.  Jäklar vad vettigt det låter.   Dessutom, ska en byråkrat vara billigare än en kung?  Enligt vilka principer då? Att byråkrater är sparsamma?   /Per    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
5,5503571,OndSmurf,2006-11-09,08:43,"  Citat:      Ursprungligen postat av gart  Ett av argumenten som republikaner har för att avskaffa monarkin är att den kostar pengar. Och, tja, det finns ju ett icke oansenligt apanage som förvisso inte blir så många kronor per år och svensk men... ändå. Det finns.   Monarkister säger då, som motargument, att en president skulle kosta lika mycket, och därför är detta inget argument.     Det finns väl ingen republikan som på allvar tycker att kostnaderna är ett särskilt relevant argument? Det är bara ett försök att vara populistiska. (Vilket är extra intressant med tanke på att svenska folket är för monarkin.)    ",gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
6,5503846,ChristianX,2006-11-09,10:02,"     Det är ju jätteenkelt. Avskaffa monarkin och Per Westerberg blir automatiskt statsöverhuvud, då talmannen är riksdagens överhuvud.   En president eller kung är ju en politiskt neutral funktion som delegerar driften av landet till en folkvald regering och riksdag. I de fallen då en sådan funktion saknas temporärt, när t ex kungen avlider, så tar den politiskt neutrala talmannen över och riksdagen är då självstyrande.    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
7,5504749,gart,2006-11-09,12:42,"     Ok, så om vi bortser från läroboksförfattarnas problem med faktarutor...   Fakesky, poängen med hela tankeövningen var ju att vi INTE skulle ha VARE SIG kung eller president, utan bara en statsminister.    kattunga, varför skulle statsministerposten bli presidentpost? Varför kan den inte fortsätta att vara statsministerpost?   Varför är ni så envisa med att det måste finnas ett ""statsöverhuvud""? (Jag trodde att det hette statschef...) Varför inte bara plocka bort det begreppet och ämbetet helt och hållet? Går det inte precis lika bra att förvalta staten Sverige ändå? Om ni envisas med att det ska finnas ett statsöverhuvud så kan det väl få stå statsöverhuvud/statsminister på Fredrik Reinfeldts visitkort, men han har exakt samma arbetsuppgifter som idag?   Det är ju liksom det här som är själva grundfrågan; en riksdag och en regering och *ingenting mer*, varför inte?    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
8,5504778,Sun Ruler,2006-11-09,12:46,"  Citat:      Ursprungligen postat av ChristianX  Det är ju jätteenkelt. Avskaffa monarkin och Per Westerberg blir automatiskt statsöverhuvud, då talmannen är riksdagens överhuvud.  En president eller kung är ju en politiskt neutral funktion som delegerar driften av landet till en folkvald regering och riksdag. I de fallen då en sådan funktion saknas temporärt, när t ex kungen avlider, så tar den politiskt neutrala talmannen över och riksdagen är då självstyrande.   Håller helt med. Det vore den bästa lösningen att ge talmannen posten som statsöverhuvud. Sedan om han skall kallas kung/president/talman spelar inte så stor roll utan det är om den personen har blivit folkligt vald.    ",ChristianX,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
9,5504813,OndSmurf,2006-11-09,12:50,"  Citat:      Ursprungligen postat av Sun Ruler  Håller helt med. Det vore den bästa lösningen att ge talmannen posten som statsöverhuvud. Sedan om han skall kallas kung/president/talman spelar inte så stor roll utan det är om den personen har blivit folkligt vald.     Fast själv styrkan med Kungen är ju att han INTE är folkvald. Det minimerar särintressens möjligheter att påverka statschefen.   I ett land som Sverige, utan ordentlig maktdelning, skulle statschefen mycket snabbt i praktiken bli styrd av olika särintressen. En neutral statschef är en viktig princip i ett land med en konstitution som den svenska.     Det innebär förstås inte att det måste vara kungadöme och arvsrätt, men det bör inte vara en politiskt tillsatt position.    ",Sun Ruler,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
